URYDL,RMDVL,ffwd_skip
URYDL,AVER,ffwd_skip
URYDL,SMDDR,cross_sensory_skip
URYDL,RMDDR,ffwd_skip
URBL,CEPDL,fbk_violation
URBL,IL1L,fbk_violation
URBL,URXL,fbk_violation
URBL,RICR,l3_rec
RMDDL,RMDVR,l3_rec
IL1VL,RMDDL,ffwd_skip
IL1VL,URAVL,ffwd_norm
IL1VL,RIPL,ffwd_norm
URAVL,RIPL,l2_rec
URAVL,RMER,ffwd_norm
OLQVL,RICL,cross_sensory_skip
OLQVL,RMDVR,ffwd_skip
IL2DL,IL1DL,sensory_rec
IL2DL,URADL,ffwd_norm
IL2DL,RIPL,ffwd_norm
IL1L,RMDDL,ffwd_skip
IL1L,RMDVL,ffwd_skip
IL1L,RMDR,cross_sensory_skip
IL1L,RMDVR,ffwd_skip
RMDR,IL1L,fbk_violation
RMDR,RIAL,l3_inter_rec
RMDR,RMDL,l3_rec
RMDR,RMDVL,l3_inter_rec
RMDVR,RMDDL,l3_rec
IL2L,IL1L,sensory_rec
IL2L,OLQDL,sensory_rec
IL2L,RIH,ffwd_skip
URYVL,IL1VL,sensory_rec
URYVL,RIBL,cross_sensory_skip
URYVL,RMDDL,ffwd_skip
URYVL,AVER,ffwd_skip
URYVL,SMDVR,cross_sensory_skip
URYVL,RMDVR,ffwd_skip
IL2VL,IL1VL,sensory_rec
IL2VL,RMEV,ffwd_skip
IL2VL,RMEL,ffwd_skip
IL2VL,URAVL,ffwd_norm
IL2VL,RIPL,ffwd_norm
IL2VL,RMER,ffwd_skip
RMDDR,RMDVL,l3_rec
AVHR,PVPL,l3_rec
AVHR,SMBVL,l3_inter_rec
RIVR,RIAL,l3_inter_rec
RIVR,SAADL,l3_rec
RIVR,SIAVL,l3_rec
SMDDL,RIAL,l3_inter_rec
SMDDL,RIML,l3_rec
SMDDL,RIAR,l3_inter_rec
SMDDL,SMDVR,l3_rec
SMDVL,RIAL,l3_inter_rec
SMDVL,RIAR,l3_inter_rec
SMDVL,SMDDR,l3_rec
OLQDR,RICL,cross_sensory_skip
OLQDR,RMDDL,ffwd_skip
URBR,RICL,l3_rec
AVKR,RIML,l3_rec
AVKR,SAADL,l3_rec
SAAVR,RIML,l3_rec
SAAVR,SMDDL,l3_rec
RIVL,RMDVL,l3_inter_rec
RIVL,SAADR,l3_rec
RIVL,SIAVR,l3_rec
RIVL,RIAR,l3_inter_rec
RIVL,RMDL,l3_rec
RIVL,SMDVL,l3_rec
IL1R,RMDL,cross_sensory_skip
IL1R,RMDVL,ffwd_skip
RMGR,RMDL,l3_rec
OLQVR,RMDVL,ffwd_skip
IL2VR,RMEL,ffwd_skip
URAVR,RMEL,ffwd_norm
RMHL,RMDR,l3_rec
SDQL,AVAR,ffwd_norm
RMED,SMDDL,l3_inter_rec
ALNR,SMBDL,ffwd_norm
