Comparison,Network,Edge threshold,Measure,Cell,Jaccard Distance
L4 L/R,all,all,proximal,AIYL,0.4857142857142857
L4 L/R,all,all,proximal,AIZL,0.4857142857142857
L4 L/R,all,all,proximal,ALML,0.40816326530612246
L4 L/R,all,all,proximal,ALNL,0.43333333333333335
L4 L/R,all,all,proximal,ASEL,0.4444444444444444
L4 L/R,all,all,proximal,ASGL,0.37142857142857144
L4 L/R,all,all,proximal,ASHL,0.5396825396825397
L4 L/R,all,all,proximal,ASIL,0.46
L4 L/R,all,all,proximal,ASJL,0.38461538461538464
L4 L/R,all,all,proximal,ASKL,0.4090909090909091
L4 L/R,all,all,proximal,AUAL,0.4230769230769231
L4 L/R,all,all,proximal,AVAL,0.5504587155963303
L4 L/R,all,all,proximal,AVBL,0.48717948717948717
L4 L/R,all,all,proximal,AVDL,0.5268817204301075
L4 L/R,all,all,proximal,AVEL,0.49193548387096775
L4 L/R,all,all,proximal,AVFL,0.5079365079365079
L4 L/R,all,all,proximal,AVHL,0.5268817204301075
L4 L/R,all,all,proximal,AVJL,0.5227272727272727
L4 L/R,all,all,proximal,AVKL,0.5405405405405406
L4 L/R,all,all,proximal,AWAL,0.5476190476190477
L4 L/R,all,all,proximal,AWBL,0.5
L4 L/R,all,all,proximal,AWCL,0.46
L4 L/R,all,all,proximal,BAGL,0.4642857142857143
L4 L/R,all,all,proximal,BDUL,0.4406779661016949
L4 L/R,all,all,proximal,CEPDL,0.4868421052631579
L4 L/R,all,all,proximal,CEPVL,0.417910447761194
L4 L/R,all,all,proximal,FLPL,0.6818181818181818
L4 L/R,all,all,proximal,IL1DL,0.5681818181818182
L4 L/R,all,all,proximal,IL1L,0.48333333333333334
L4 L/R,all,all,proximal,IL1VL,0.7222222222222222
L4 L/R,all,all,proximal,IL2DL,0.5681818181818182
L4 L/R,all,all,proximal,IL2L,0.48333333333333334
L4 L/R,all,all,proximal,IL2VL,0.7714285714285715
L4 L/R,all,all,proximal,OLLL,0.40540540540540543
L4 L/R,all,all,proximal,OLQDL,0.54
L4 L/R,all,all,proximal,OLQVL,0.5714285714285714
L4 L/R,all,all,proximal,PVCL,0.4375
L4 L/R,all,all,proximal,PVPL,0.4634146341463415
L4 L/R,all,all,proximal,PVQL,0.4090909090909091
L4 L/R,all,all,proximal,RIAL,0.49523809523809526
L4 L/R,all,all,proximal,RIBL,0.449438202247191
L4 L/R,all,all,proximal,RICL,0.6371681415929203
L4 L/R,all,all,proximal,RIFL,0.5396825396825397
L4 L/R,all,all,proximal,RIGL,0.4111111111111111
L4 L/R,all,all,proximal,RIML,0.5321100917431193
L4 L/R,all,all,proximal,RIPL,0.29545454545454547
L4 L/R,all,all,proximal,RIVL,0.5531914893617021
L4 L/R,all,all,proximal,RMDDL,0.5466666666666666
L4 L/R,all,all,proximal,RMDL,0.618421052631579
L4 L/R,all,all,proximal,RMDVL,0.6428571428571429
L4 L/R,all,all,proximal,RMEL,0.4857142857142857
L4 L/R,all,all,proximal,RMFL,0.4868421052631579
L4 L/R,all,all,proximal,RMGL,0.5119047619047619
L4 L/R,all,all,proximal,RMHL,0.49523809523809526
L4 L/R,all,all,proximal,SAADL,0.4868421052631579
L4 L/R,all,all,proximal,SAAVL,0.4945054945054945
L4 L/R,all,all,proximal,SDQL,0.4
L4 L/R,all,all,proximal,SIADL,0.5096153846153846
L4 L/R,all,all,proximal,SIAVL,0.5119047619047619
L4 L/R,all,all,proximal,SIBDL,0.5096153846153846
L4 L/R,all,all,proximal,SIBVL,0.6037735849056604
L4 L/R,all,all,proximal,SMBDL,0.4838709677419355
L4 L/R,all,all,proximal,SMBVL,0.5
L4 L/R,all,all,proximal,SMDDL,0.5180722891566265
L4 L/R,all,all,proximal,SMDVL,0.5531914893617021
L4 L/R,all,all,proximal,URADL,0.3076923076923077
L4 L/R,all,all,proximal,URAVL,0.7714285714285715
L4 L/R,all,all,proximal,URBL,0.48
L4 L/R,all,all,proximal,URXL,0.43478260869565216
L4 L/R,all,all,proximal,URYDL,0.3950617283950617
L4 L/R,all,all,proximal,URYVL,0.5714285714285714
L4 L/R,all,all,proximal,ADAR,0.4482758620689655
L4 L/R,all,all,proximal,ADER,0.3977272727272727
L4 L/R,all,all,proximal,ADFR,0.5306122448979592
L4 L/R,all,all,proximal,ADLR,0.4444444444444444
L4 L/R,all,all,proximal,AFDR,0.36363636363636365
L4 L/R,all,all,proximal,AIAR,0.40384615384615385
L4 L/R,all,all,proximal,AIBR,0.45528455284552843
L4 L/R,all,all,proximal,AIMR,0.4307692307692308
L4 L/R,all,all,proximal,AINR,0.45161290322580644
L4 L/R,all,all,proximal,AIYR,0.4857142857142857
L4 L/R,all,all,proximal,AIZR,0.4857142857142857
L4 L/R,all,all,proximal,ALMR,0.40816326530612246
L4 L/R,all,all,proximal,ALNR,0.4126984126984127
L4 L/R,all,all,proximal,ASER,0.4406779661016949
L4 L/R,all,all,proximal,ASGR,0.3611111111111111
L4 L/R,all,all,proximal,ASHR,0.49230769230769234
L4 L/R,all,all,proximal,ASIR,0.3888888888888889
L4 L/R,all,all,proximal,ASJR,0.43478260869565216
L4 L/R,all,all,proximal,ASKR,0.4444444444444444
L4 L/R,all,all,proximal,AUAR,0.45614035087719296
L4 L/R,all,all,proximal,AVAR,0.5603448275862069
L4 L/R,all,all,proximal,AVBR,0.4634146341463415
L4 L/R,all,all,proximal,AVDR,0.5263157894736842
L4 L/R,all,all,proximal,AVER,0.4642857142857143
L4 L/R,all,all,proximal,AVFR,0.5079365079365079
L4 L/R,all,all,proximal,AVHR,0.5769230769230769
L4 L/R,all,all,proximal,AVJR,0.5769230769230769
L4 L/R,all,all,proximal,AVKR,0.5405405405405406
L4 L/R,all,all,proximal,AWAR,0.3958333333333333
L4 L/R,all,all,proximal,AWBR,0.5306122448979592
L4 L/R,all,all,proximal,AWCR,0.4576271186440678
L4 L/R,all,all,proximal,BAGR,0.4642857142857143
L4 L/R,all,all,proximal,BDUR,0.42105263157894735
L4 L/R,all,all,proximal,CEPDR,0.3968253968253968
L4 L/R,all,all,proximal,CEPVR,0.4024390243902439
L4 L/R,all,all,proximal,FLPR,0.6818181818181818
L4 L/R,all,all,proximal,IL1DR,0.5
L4 L/R,all,all,proximal,IL1R,0.5925925925925926
L4 L/R,all,all,proximal,IL1VR,0.6153846153846154
L4 L/R,all,all,proximal,IL2DR,0.5306122448979592
L4 L/R,all,all,proximal,IL2R,0.5925925925925926
L4 L/R,all,all,proximal,IL2VR,0.7027027027027027
L4 L/R,all,all,proximal,OLLR,0.5211267605633803
L4 L/R,all,all,proximal,OLQDR,0.5306122448979592
L4 L/R,all,all,proximal,OLQVR,0.4827586206896552
L4 L/R,all,all,proximal,PVCR,0.4606741573033708
L4 L/R,all,all,proximal,PVPR,0.41333333333333333
L4 L/R,all,all,proximal,PVQR,0.40816326530612246
L4 L/R,all,all,proximal,RIAR,0.4368932038834951
L4 L/R,all,all,proximal,RIBR,0.4588235294117647
L4 L/R,all,all,proximal,RICR,0.6371681415929203
L4 L/R,all,all,proximal,RIFR,0.49230769230769234
L4 L/R,all,all,proximal,RIGR,0.44047619047619047
L4 L/R,all,all,proximal,RIMR,0.47706422018348627
L4 L/R,all,all,proximal,RIPR,0.45
L4 L/R,all,all,proximal,RIVR,0.6022727272727273
L4 L/R,all,all,proximal,RMDDR,0.6428571428571429
L4 L/R,all,all,proximal,RMDR,0.618421052631579
L4 L/R,all,all,proximal,RMDVR,0.5466666666666666
L4 L/R,all,all,proximal,RMER,0.49230769230769234
L4 L/R,all,all,proximal,RMFR,0.40789473684210525
L4 L/R,all,all,proximal,RMGR,0.532608695652174
L4 L/R,all,all,proximal,RMHR,0.5061728395061729
L4 L/R,all,all,proximal,SAADR,0.47058823529411764
L4 L/R,all,all,proximal,SAAVR,0.4657534246575342
L4 L/R,all,all,proximal,SDQR,0.4842105263157895
L4 L/R,all,all,proximal,SIADR,0.5287356321839081
L4 L/R,all,all,proximal,SIAVR,0.4673913043478261
L4 L/R,all,all,proximal,SIBDR,0.504424778761062
L4 L/R,all,all,proximal,SIBVR,0.6037735849056604
L4 L/R,all,all,proximal,SMBDR,0.5287356321839081
L4 L/R,all,all,proximal,SMBVR,0.532608695652174
L4 L/R,all,all,proximal,SMDDR,0.5340909090909091
L4 L/R,all,all,proximal,SMDVR,0.6022727272727273
L4 L/R,all,all,proximal,URADR,0.475
L4 L/R,all,all,proximal,URAVR,0.7027027027027027
L4 L/R,all,all,proximal,URBR,0.47368421052631576
L4 L/R,all,all,proximal,URXR,0.4084507042253521
L4 L/R,all,all,proximal,URYDR,0.43333333333333335
L4 L/R,all,all,proximal,URYVR,0.4827586206896552
Adult/L4,all,all,homologous,ADAL,0.7261904761904762
Adult/L4,all,all,homologous,ADEL,0.5925925925925926
